Time	Gender	Weight	Mins
0005	1	3837	120
0104	1	3334	130
0118	2	3554	150
0155	2	3838	160
0257	2	3625	180
0405	1	2208	190
0407	1	1745	200
0422	2	2846	210
0431	2	3166	215
0708	2	3520	250
0735	2	3380	410
0812	2	3294	440
0814	1	2576	450
0909	1	3208	470
1035	2	3521	480
1049	1	3746	500
1053	1	3523	510
1133	2	2902	530
1209	2	2635	550
1256	2	3920	560
1305	2	3690	600
1406	1	3430	720
1407	1	3480	760
1433	1	3116	770
1446	1	3428	775
1514	2	3783	790
1631	2	3345	795
1657	2	3034	810
1742	1	2184	815
1807	2	3300	880
1825	1	2383	1150
1854	2	3428	1155
1909	2	4162	1165
1947	2	3630	1170
1949	2	3406	1175
1951	2	3402	1185
2010	1	3500	1190
2037	2	3736	1195
2051	2	3370	1198
2104	2	2121	1199
2123	2	3150	1200
2217	1	3866	1210
2327	1	3542	1230
2355	1	3278	1240
